"","word","freq"
"1","a","0.184615384615385"
"2","years","0.138461538461538"
"3","the","0.681818181818182"
"4","the","0.346153846153846"
"5","the","0.933333333333333"
"6","the","0.421052631578947"
"7","year","0.255813953488372"
"8","control","1"
"9","average","1"
"10","day","0.146938775510204"
"11","month","0.102040816326531"
"12","year","0.0857142857142857"
"13","week","0.0448979591836735"
"14","world","0.036734693877551"
"15","season","0.0326530612244898"
"16","matter","1"
"17","you","1"
"18","that","0.631578947368421"
"19","boston","1"
"20","night","0.196969696969697"
"21","the","0.807692307692308"
"22","the","1"
"23","that","1"
"24","world","0.076530612244898"
"25","country","0.0459183673469388"
"26","year","0.0459183673469388"
"27","week","0.0408163265306122"
"28","<>","0.0459183673469388"
"29","life","0.739130434782609"
"30","life","0.647058823529412"
"31","do","0.888888888888889"
"32","road","0.323529411764706"
"33","<>","0.11875"
"34","<>","0.288135593220339"
"35","<>","0.239130434782609"
"36","<>","0.117647058823529"
"37","the","1"
"38","the","0.727272727272727"
"39","the","0.75"
"40","the","0.216216216216216"
"41","<>","0.242424242424242"
"42","of","0.933333333333333"
"43","you","0.666666666666667"
"44","the","0.64"
"45","this","0.208333333333333"
"46","the","0.208333333333333"
"47","the","0.307692307692308"
"48","of","0.857142857142857"
"49","followers","0.727272727272727"
"50","followers","0.909090909090909"
"51","a","0.34375"
"52","to","0.785714285714286"
"53","to","1"
"54","the","0.615384615384615"
"55","the","0.24390243902439"
"56","to","0.75"
"57","to","1"
"58","time","1"
"59","you","1"
"60","<>","0.149253731343284"
"61","ago","0.464285714285714"
"62","ago","0.523809523809524"
"63","a","0.388888888888889"
"64","go","0.916666666666667"
"65","woman","0.8"
"66","a","0.6875"
"67","nike","1"
"68","half","0.9"
"69","the","0.666666666666667"
"70","the","0.24390243902439"
"71","<>","0.135922330097087"
"72","<>","0.115942028985507"
"73","<>","0.3125"
"74","that","0.391304347826087"
"75","of","0.722222222222222"
"76","to","0.307692307692308"
"77","what","0.342105263157895"
"78","to","0.888888888888889"
"79","be","0.185714285714286"
"80","to","0.8"
"81","have","0.0919540229885057"
"82","to","1"
"83","to","0.666666666666667"
"84","be","0.823529411764706"
"85","to","0.833333333333333"
"86","i","0.192307692307692"
"87","to","0.153846153846154"
"88","i","0.214285714285714"
"89","to","0.256410256410256"
"90","i","0.305555555555556"
"91","be","0.0925925925925926"
"92","go","0.0833333333333333"
"93","much","0.695652173913043"
"94","love","0.916666666666667"
"95","that","0.407407407407407"
"96","mean","0.75"
"97","mi","0.9375"
"98","see","0.341176470588235"
"99","to","1"
"100","was","0.642857142857143"
"101","out","0.216216216216216"
"102","to","0.444444444444444"
"103","be","0.75"
"104","is","0.363636363636364"
"105","to","0.5"
"106","to","1"
"107","a","0.424242424242424"
"108","see","0.130952380952381"
"109","have","0.138461538461538"
"110","of","0.40625"
"111","of","0.354838709677419"
"112","the","0.454545454545455"
"113","a","0.132231404958678"
"114","the","0.9"
"115","the","0.391304347826087"
"116","days","0.428571428571429"
"117","the","0.8"
"118","the","0.866666666666667"
"119","and","0.111111111111111"
"120","the","0.45"
"121","<>","0.216216216216216"
"122","the","0.4"
"123","wondering","0.727272727272727"
"124","in","0.275862068965517"
"125","since","0.0985221674876847"
"126","and","0.0541871921182266"
"127","the","0.428571428571429"
"128","my","0.2"
"129","years","0.257142857142857"
"130","win","0.793103448275862"
"131","to","0.9"
"132","who","0.625"
"133","to","0.8"
"134","to","0.8125"
"135","of","1"
"136","or","0.916666666666667"
"137","a","0.180327868852459"
"138","the","0.0819672131147541"
"139","corner","1"
"140","most","0.173228346456693"
"141","best","0.110236220472441"
"142","few","0.0866141732283465"
"143","<>","0.062992125984252"
"144","favorite","0.384615384615385"
"145","wife","1"
"146","to","1"
"147","you","0.418604651162791"
"148","the","0.647058823529412"
"149","the","0.478260869565217"
"150","is","0.571428571428571"
"151","do","0.692307692307692"
"152","do","0.923076923076923"
"153","one","0.8125"
"154","be","0.204545454545455"
"155","do","0.181818181818182"
"156","the","0.340425531914894"
"157","the","0.846153846153846"
"158","can","0.4"
"159","the","0.544041450777202"
"160","this","0.0725388601036269"
"161","a","0.0466321243523316"
"162","the","0.576923076923077"
"163","the","0.0592592592592593"
"164","<>","0.0592592592592593"
"165","the","0.634146341463415"
"166","the","0.6"
"167","the","0.481481481481481"
"168","the","0.666666666666667"
"169","the","0.291666666666667"
"170","out","0.625"
"171","the","0.733333333333333"
"172","to","0.888888888888889"
"173","time","1"
"174","the","0.641025641025641"
"175","you","0.212121212121212"
"176","what","0.121212121212121"
"177","the","0.121212121212121"
"178","and","0.818181818181818"
"179","it","1"
"180","for","1"
"181","the","0.571428571428571"
"182","do","0.684210526315789"
"183","i","0.407407407407407"
"184","that","0.909090909090909"
"185","of","0.833333333333333"
"186","while","1"
"187","is","1"
"188","with","1"
"189","world","0.615384615384615"
"190","for","1"
"191","great","0.123711340206186"
"192","long","0.0927835051546392"
"193","to","1"
"194","at","0.208333333333333"
"195","fun","0.32"
"196","the","0.75"
"197","with","1"
"198","all","0.75"
"199","all","0.538461538461538"
"200","with","0.9"
"201","with","0.727272727272727"
"202","i","0.818181818181818"
"203","you","1"
"204","follow","0.692307692307692"
"205","great","0.486486486486487"
"206","a","0.833333333333333"
"207","great","0.5"
"208","a","1"
"209","it","0.888888888888889"
"210","there","0.180327868852459"
"211","great","0.647058823529412"
"212","dollars","0.421052631578947"
"213","of","1"
"214","to","0.631578947368421"
"215","of","0.615384615384615"
"216","out","0.888888888888889"
"217","the","0.409090909090909"
"218","be","0.11"
"219","see","0.1"
"220","a","0.32"
"221","it","0.45"
"222","to","0.608695652173913"
"223","pp","0.857142857142857"
"224","of","1"
"225","see","0.727272727272727"
"226","be","0.714285714285714"
"227","those","0.333333333333333"
"228","the","0.333333333333333"
"229","the","0.45"
"230","be","0.533333333333333"
"231","is","1"
"232","world","1"
"233","be","0.9"
"234","be","0.923076923076923"
"235","a","0.378787878787879"
"236","run","1"
"237","work","0.851851851851852"
"238","work","0.846153846153846"
"239","with","0.32258064516129"
"240","any","0.888888888888889"
"241","you","0.586206896551724"
"242","you","0.565217391304348"
"243","you","0.473684210526316"
"244","you","0.5"
"245","we","0.266666666666667"
"246","you","0.818181818181818"
"247","you","0.419354838709677"
"248","her","0.909090909090909"
"249","to","1"
"250","with","1"
"251","think","0.615384615384615"
"252","mikey","0.909090909090909"
"253","the","0.555555555555556"
"254","the","0.857142857142857"
"255","of","0.692307692307692"
"256","no","0.894736842105263"
"257","comment","1"
"258","the","0.222222222222222"
"259","of","0.435897435897436"
"260","the","0.409090909090909"
"261","the","0.523809523809524"
"262","the","0.132352941176471"
"263","work","0.117647058823529"
"264","<>","0.117647058823529"
"265","on","1"
"266","the","0.818181818181818"
"267","important","0.0970149253731343"
"268","<>","0.0597014925373134"
"269","i","0.521739130434783"
"270","<>","0.149253731343284"
"271","years","0.384615384615385"
"272","weeks","0.529411764705882"
"273","please","0.818181818181818"
"274","states","1"
"275","watching","1"
"276","tv","1"
"277","release","0.8"
"278","taste","1"
"279","pepper","0.8"
"280","do","0.727272727272727"
"281","follow","0.166666666666667"
"282","time","0.9"
"283","time","1"
"284","the","0.413793103448276"
"285","rt","0.138613861386139"
"286","follow","0.108910891089109"
"287","#ff","0.099009900990099"
"288","support","0.28125"
"289","me","0.379310344827586"
"290","for","0.406593406593407"
"291","who","0.631578947368421"
"292","and","0.0625"
"293","i","0.0583333333333333"
"294","hope","0.0458333333333333"
"295","back","0.0333333333333333"
"296","<>","0.0333333333333333"
"297","out","0.964285714285714"
"298","up","1"
"299","words","1"
"300","the","0.446428571428571"
"301","of","0.666666666666667"
"302","of","0.956521739130435"
"303","of","1"
"304","things","0.2"
"305","of","0.615384615384615"
"306","when","0.666666666666667"
"307","a","0.6"
"308","time","0.32"
"309","the","0.411764705882353"
"310","those","0.235294117647059"
"311","be","0.807692307692308"
"312","time","0.8"
"313","gps","1"
"314","be","0.888888888888889"
"315","how","0.276595744680851"
"316","what","0.25531914893617"
"317","a","0.263157894736842"
"318","to","1"
"319","fun","0.409090909090909"
"320","a","0.8"
"321","a","0.147540983606557"
"322","most","0.169811320754717"
"323","of","0.166666666666667"
"324","to","0.55"
"325","to","0.9"
"326","kid","0.388888888888889"
"327","the","0.0983606557377049"
"328","<>","0.0655737704918033"
"329","the","0.588235294117647"
"330","the","0.333333333333333"
"331","you","0.45"
"332","is","0.5"
"333","weekend","0.357142857142857"
"334","how","0.625"
"335","mean","0.45"
"336","be","0.18"
"337","crazy","1"
"338","the","0.368421052631579"
"339","<>","0.121621621621622"
"340","<>","0.26"
"341","the","0.435897435897436"
"342","and","0.0647482014388489"
"343","<>","0.107913669064748"
"344","<>","0.545454545454545"
"345","the","0.533333333333333"
"346","statement","0.571428571428571"
"347","interview","0.571428571428571"
"348","time","0.733333333333333"
"349","the","0.615384615384615"
"350","of","0.789473684210526"
"351","time","1"
"352","report","0.619047619047619"
"353","to","1"
"354","the","0.8"
"355","follow","0.578947368421053"
"356","to","1"
"357","<>","0.333333333333333"
"358","<>","0.238636363636364"
"359","<>","1"
"360","<>","0.3125"
"361","and","0.0545454545454545"
"362","<>","0.493181818181818"
