"","X","word","freq","start","all","real"
"1",1,"nebo",0.11284046692607,1,0,0
"2",2,"líbí",0.108949416342412,1,0,0
"3",3,"líbilo",0.0583657587548638,1,0,0
"4",4,"<>",0.0739299610894942,1,0,0
"5",5,"ta",0.0629370629370629,1,0,0
"6",6,"<>",0.0629370629370629,1,0,0
"7",7,"<>",0.1875,1,0,0
"8",8,"se",0.166666666666667,1,0,0
"9",9,"že",0.578947368421053,1,0,0
"10",10,"líbí",0.411764705882353,1,0,0
"11",11,"toho",0.266666666666667,1,0,0
"12",12,"a",0.0666666666666667,1,0,0
"13",13,"<>",0.105555555555556,1,0,0
"14",14,"<>",0.101010101010101,1,0,0
"15",15,"<>",0.154761904761905,1,0,0
"16",16,"<>",0.131147540983607,1,0,0
"17",17,"těšit",0.642857142857143,1,0,0
"18",18,"a",0.05,1,0,0
"19",19,"<>",0.15,1,0,0
"20",20,"<>",0.226415094339623,1,0,0
"21",21,"letech",0.5,1,0,0
"22",22,"době",0.923076923076923,1,0,0
"23",23,"<>",0.192307692307692,1,0,0
"24",24,"<>",0.26,1,0,0
"25",25,"<>",0.204301075268817,1,0,0
"26",26,"a",0.126984126984127,1,0,0
"27",27,"<>",0.222222222222222,1,0,0
"28",28,"<>",0.227272727272727,1,0,0
"29",29,"<>",0.175257731958763,1,0,0
"30",30,"že",0.4,1,0,0
"31",31,"na",0.75,1,0,0
"32",32,"<>",0.285714285714286,1,0,0
"33",33,"<>",0.266666666666667,1,0,0
"34",34,"<>",0.295454545454545,1,0,0
"35",35,"<>",0.126760563380282,1,0,0
"36",36,"<>",0.337837837837838,1,0,0
"37",37,"<>",0.221884498480243,1,1,0
"38",38,"<>",0.150406504065041,2,0,0
"39",39,"<>",0.189189189189189,2,0,0
"40",40,"<>",0.178571428571429,2,0,0
"41",41,"tím",0.0918367346938776,2,0,0
"42",42,"<>",0.316326530612245,2,1,0
"43",43,"<>",0.279411764705882,3,0,0
"44",44,"<>",0.133333333333333,3,0,0
"45",45,"<>",0.241379310344828,3,0,0
"46",46,"<>",0.314814814814815,3,0,0
"47",47,"to",0.48,3,0,0
"48",48,"<>",0.183673469387755,3,0,0
"49",49,"<>",0.647058823529412,3,0,0
"50",50,"a",0.0849772382397572,3,1,0
"51",51,"na",0.0409711684370258,4,0,0
"52",52,"v",0.0273141122913505,4,0,0
"53",53,"se",0.0212443095599393,4,0,0
"54",54,"do",0.0182094081942337,4,0,0
"55",55,"<>",0.144157814871017,4,2,1
"56",56,"je",0.0925925925925926,6,0,0
"57",57,"se",0.0740740740740741,6,0,0
"58",58,"v",0.0416666666666667,6,0,0
"59",59,"jsem",0.0416666666666667,6,0,0
"60",60,"<>",0.0694444444444444,6,0,0
"61",61,"se",0.111111111111111,6,0,0
"62",62,"se",0.215384615384615,6,0,0
"63",63,"si",0.138461538461538,6,0,0
"64",64,"a",0.0956521739130435,6,0,0
"65",65,"že",0.526315789473684,6,0,0
"66",66,"je",0.0995024875621891,6,0,0
"67",67,"se",0.0497512437810945,6,0,0
"68",68,"to",0.0398009950248756,6,0,0
"69",69,"<>",0.0597014925373134,6,0,0
"70",70,"<>",0.102803738317757,6,0,0
"71",71,"<>",0.116883116883117,6,0,0
"72",72,"v",0.290322580645161,6,0,0
"73",73,"<>",0.275,6,0,0
"74",74,"<>",0.220472440944882,6,0,0
"75",75,"republiky",1,6,0,0
"76",76,"pak",0.03420523138833,6,0,0
"77",77,"na",0.0301810865191147,6,0,0
"78",78,"v",0.028169014084507,6,0,0
"79",79,"je",0.0221327967806841,6,0,0
"80",80,"<>",0.187122736418511,6,3,2
"81",81,"<>",0.26271186440678,9,0,0
"82",82,"to",0.137614678899083,9,0,0
"83",83,"<>",0.0825688073394495,9,0,0
"84",84,"<>",0.252336448598131,9,0,0
"85",85,"<>",0.0869565217391304,9,0,0
"86",86,"si",0.1375,9,0,0
"87",87,"<>",0.1,9,0,0
"88",88,"je",0.23943661971831,9,0,0
"89",89,"<>",0.406779661016949,9,0,0
"90",90,"to",0.145454545454545,9,0,0
"91",91,"<>",0.294117647058824,9,0,0
"92",92,"<>",0.210526315789474,9,0,0
"93",93,"<>",0.245283018867925,9,0,0
"94",94,"a",0.0647321428571429,9,1,0
"95",95,"se",0.0279017857142857,10,0,0
"96",96,"v",0.0212053571428571,10,0,0
"97",97,"je",0.0178571428571429,10,0,0
"98",98,"na",0.0178571428571429,10,0,0
"99",99,"s",0.0133928571428571,10,0,0
"100",100,"jsem",0.0122767857142857,10,0,0
"101",101,"do",0.0111607142857143,10,0,0
"102",102,"z",0.0100446428571429,10,0,0
"103",103,"to",0.00892857142857143,10,0,0
"104",104,"nebo",0.00892857142857143,10,0,0
"105",105,"<>",0.142857142857143,10,2,1
"106",106,"<>",0.129411764705882,12,0,0
"107",107,"když",0.186440677966102,12,0,0
"108",108,"pohodě",0.166666666666667,12,0,0
"109",109,"<>",0.297872340425532,12,0,0
"110",110,"mě",0.294117647058824,12,0,0
"111",111,"jako",0.387096774193548,12,0,0
"112",112,"<>",0.5,12,0,0
"113",113,"<>",0.307692307692308,12,0,0
"114",114,"<>",0.1,12,0,0
"115",115,"to",0.280701754385965,12,0,0
"116",116,"že",0.647058823529412,12,0,0
"117",117,"za",0.5,12,0,0
"118",118,"<>",0.125,12,0,0
"119",119,"líbí",0.202127659574468,12,0,0
"120",120,"zajímalo",0.48780487804878,12,0,0
"121",121,"mi",0.35,12,0,0
"122",122,"že",1,12,0,0
"123",123,"<>",0.16,12,0,0
"124",124,"<>",0.625,12,0,0
"125",125,"<>",0.588235294117647,12,0,0
"126",126,"<>",0.183673469387755,12,0,0
"127",127,"to",0.964285714285714,12,1,1
"128",128,"to",0.642857142857143,13,0,0
"129",129,"pak",0.0506329113924051,13,0,0
"130",130,"<>",0.170886075949367,13,0,0
"131",131,"<>",0.158536585365854,13,0,0
"132",132,"<>",0.228571428571429,13,0,0
"133",133,"a",0.0788177339901478,13,0,0
"134",134,"<>",0.0886699507389163,13,0,0
"135",135,"se",0.0746268656716418,13,0,0
"136",136,"<>",0.166666666666667,13,0,0
"137",137,"by",0.191780821917808,13,0,0
"138",138,"se",0.164383561643836,13,0,0
"139",139,"se",0.240963855421687,13,0,0
"140",140,"<>",0.108433734939759,13,0,0
"141",141,"<>",0.458333333333333,13,0,0
"142",142,"<>",0.196078431372549,13,0,0
"143",143,"<>",0.27906976744186,13,0,0
"144",144,"se",0.0869565217391304,13,0,0
"145",145,"<>",0.145454545454545,13,0,0
"146",146,"zákonem",0.666666666666667,13,0,0
"147",147,"<>",0.25,13,0,0
"148",148,"<>",0.391304347826087,13,0,0
"149",149,"je",0.144578313253012,13,0,0
"150",150,"<>",0.183098591549296,13,0,0
"151",151,"labem",0.833333333333333,13,0,0
"152",152,"<>",0.5,13,1,0
"153",153,"<>",0.18,14,0,0
"154",154,"na",0.0296296296296296,14,0,0
"155",155,"<>",0.233333333333333,14,0,0
"156",156,"<>",0.327586206896552,14,0,0
"157",157,"<>",0.0947368421052632,14,0,0
"158",158,"<>",0.0851063829787234,14,0,0
"159",159,"<>",0.284090909090909,14,0,0
"160",160,"<>",0.131147540983607,14,0,0
"161",161,"<>",0.439024390243902,14,0,0
"162",162,"je",0.210526315789474,14,0,0
"163",163,"<>",0.285714285714286,14,0,0
"164",164,"<>",0.366666666666667,14,0,0
"165",165,"a",0.051792828685259,14,1,0
"166",166,"v",0.0225763612217795,15,0,0
"167",167,"se",0.0212483399734396,15,0,0
"168",168,"je",0.0199203187250996,15,0,0
"169",169,"na",0.0199203187250996,15,0,0
"170",170,"s",0.0119521912350598,15,0,0
"171",171,"ale",0.0119521912350598,15,0,0
"172",172,"jako",0.0106241699867198,15,0,0
"173",173,"i",0.0106241699867198,15,0,0
"174",174,"<>",0.136786188579017,15,2,1
"175",175,"že",0.0727272727272727,17,0,0
"176",176,"<>",0.117647058823529,17,0,0
"177",177,"pohodě",0.106666666666667,17,0,0
"178",178,"mě",0.365079365079365,17,0,0
"179",179,"nás",0.174603174603175,17,0,0
"180",180,"<>",0.166666666666667,17,0,0
"181",181,"<>",0.170212765957447,17,0,0
"182",182,"z",0.764705882352941,17,0,0
"183",183,"z",0.588235294117647,17,0,0
"184",184,"než",0.384615384615385,17,0,0
"185",185,"<>",0.411764705882353,17,0,0
"186",186,"že",0.875,17,0,0
"187",187,"a",0.0535279805352798,17,0,0
"188",188,"na",0.0291970802919708,17,0,0
"189",189,"d",0.024330900243309,17,0,0
"190",190,"ale",0.0194647201946472,17,0,0
"191",191,"<>",0.0851581508515815,17,0,0
"192",192,"že",0.573529411764706,17,0,0
"193",193,"<>",0.119047619047619,17,0,0
"194",194,"<>",0.125,17,0,0
"195",195,"jedno",0.205128205128205,17,0,0
"196",196,"toho",0.818181818181818,17,0,0
"197",197,"<>",0.177664974619289,17,0,0
"198",198,"<>",0.157303370786517,17,0,0
"199",199,"<>",0.25,17,0,0
"200",200,"<>",0.290322580645161,17,0,0
"201",201,"<>",0.36,17,0,0
"202",202,"a",0.063768115942029,17,1,0
"203",203,"na",0.0231884057971014,18,0,0
"204",204,"<>",0.179710144927536,18,2,1
"205",205,"to",0.164948453608247,20,0,0
"206",206,"něj",0.125,20,0,0
"207",207,"<>",0.125,20,0,0
"208",208,"tím",0.235294117647059,20,0,0
"209",209,"o",1,20,0,0
"210",210,"o",0.857142857142857,20,0,0
"211",211,"o",1,20,0,0
"212",212,"a",0.0641711229946524,20,0,0
"213",213,"v",0.0481283422459893,20,0,0
"214",214,"<>",0.0855614973262032,20,0,0
"215",215,"jen",0.0335195530726257,20,0,0
"216",216,"<>",0.100558659217877,20,0,0
"217",217,"<>",0.10989010989011,20,0,0
"218",218,"jen",0.0714285714285714,20,0,0
"219",219,"<>",0.0873015873015873,20,0,0
"220",220,"mi",0.053475935828877,20,0,0
"221",221,"to",0.0427807486631016,20,0,0
"222",222,"<>",0.0802139037433155,20,0,0
"223",223,"bylo",0.151162790697674,20,0,0
"224",224,"mělo",0.127906976744186,20,0,0
"225",225,"<>",0.173913043478261,20,0,0
"226",226,"<>",0.184615384615385,20,0,0
"227",227,"<>",0.246153846153846,20,0,0
"228",228,"<>",0.266666666666667,20,0,0
"229",229,"a",0.062015503875969,20,0,0
"230",230,"<>",0.116279069767442,20,0,0
"231",231,"to",0.100917431192661,20,0,0
"232",232,"<>",0.152173913043478,20,0,0
"233",233,"<>",0.207792207792208,20,0,0
"234",234,"že",0.622222222222222,20,0,0
"235",235,"že",0.909090909090909,20,0,0
"236",236,"že",0.578947368421053,20,0,0
"237",237,"že",0.875,20,0,0
"238",238,"na",0.75,20,0,0
"239",239,"že",0.571428571428571,20,0,0
"240",240,"že",0.692307692307692,20,0,0
"241",241,"že",0.684210526315789,20,0,0
"242",242,"že",0.578947368421053,20,0,0
"243",243,"a",0.0447761194029851,20,0,0
"244",244,"na",0.0447761194029851,20,0,0
"245",245,"<>",0.0845771144278607,20,0,0
"246",246,"to",0.147368421052632,20,0,0
"247",247,"<>",0.105263157894737,20,0,0
"248",248,"tím",0.173913043478261,20,0,0
"249",249,"<>",0.230769230769231,20,0,0
"250",250,"že",0.333333333333333,20,0,0
"251",251,"že",0.451612903225806,20,0,0
"252",252,"do",0.366666666666667,20,0,0
"253",253,"tom",0.3,20,0,0
"254",254,"že",0.586206896551724,20,0,0
"255",255,"že",0.533333333333333,20,0,0
"256",256,"že",0.705882352941177,20,0,0
"257",257,"z",0.65,20,0,0
"258",258,"na",0.0588235294117647,20,0,0
"259",259,"do",0.0542986425339367,20,0,0
"260",260,"s",0.0497737556561086,20,0,0
"261",261,"že",0.0497737556561086,20,0,0
"262",262,"a",0.0497737556561086,20,0,0
"263",263,"<>",0.0633484162895928,20,0,0
"264",264,"a",0.10958904109589,20,0,0
"265",265,"<>",0.24,20,0,0
"266",266,"bude",0.428571428571429,20,0,0
"267",267,"že",1,20,0,0
"268",268,"že",0.75,20,0,0
"269",269,"se",0.146341463414634,20,0,0
"270",270,"jsem",0.130081300813008,20,0,0
"271",271,"to",0.0813008130081301,20,0,0
"272",272,"se",0.136986301369863,20,0,0
"273",273,"jsem",0.123287671232877,20,0,0
"274",274,"<>",0.117647058823529,20,0,0
"275",275,"<>",0.150537634408602,20,0,0
"276",276,"<>",0.228070175438596,20,0,0
"277",277,"a",0.1015625,20,0,0
"278",278,"<>",0.125,20,0,0
"279",279,"jsem",0.105769230769231,20,0,0
"280",280,"to",0.105769230769231,20,0,0
"281",281,"je",0.209302325581395,20,0,0
"282",282,"že",1,20,0,0
"283",283,"tak",0.0714285714285714,20,0,0
"284",284,"<>",0.0773809523809524,20,0,0
"285",285,"že",0.958333333333333,20,0,0
"286",286,"že",0.444444444444444,20,0,0
"287",287,"stranu",0.9,20,0,0
"288",288,"že",1,20,0,0
"289",289,"že",1,20,0,0
"290",290,"to",0.75,20,0,0
"291",291,"za",0.8,20,0,0
"292",292,"že",0.470588235294118,20,0,0
"293",293,"tomu",0.533333333333333,20,1,1
"294",294,"že",1,21,0,0
"295",295,"mi",0.10126582278481,21,0,0
"296",296,"<>",0.0909090909090909,21,0,0
"297",297,"se",0.0909090909090909,21,0,0
"298",298,"je",0.0501567398119122,21,0,0
"299",299,"by",0.0438871473354232,21,0,0
"300",300,"v",0.0250783699059561,21,0,0
"301",301,"<>",0.0407523510971787,21,0,0
"302",302,"a",0.0638297872340425,21,0,0
"303",303,"<>",0.141843971631206,21,0,0
"304",304,"s",0.024024024024024,21,0,0
"305",305,"<>",0.348348348348348,21,2,1
"306",306,"<>",0.154838709677419,23,0,0
"307",307,"ruce",0.075,23,0,0
"308",308,"<>",0.208333333333333,23,0,0
"309",309,"<>",0.105263157894737,23,0,0
"310",310,"to",0.209677419354839,23,0,0
"311",311,"<>",0.375,23,0,0
"312",312,"<>",0.444444444444444,23,0,0
"313",313,"a",0.0974729241877256,23,1,0
"314",314,"na",0.026173285198556,24,0,0
"315",315,"se",0.0207581227436823,24,0,0
"316",316,"z",0.0189530685920578,24,0,0
"317",317,"v",0.0180505415162455,24,0,0
"318",318,"je",0.0126353790613718,24,0,0
"319",319,"s",0.0117328519855596,24,0,0
"320",320,"do",0.0117328519855596,24,0,0
"321",321,"o",0.00992779783393502,24,0,0
"322",322,"ale",0.00902527075812274,24,0,0
"323",323,"nebo",0.00812274368231047,24,0,0
"324",324,"to",0.00902527075812274,24,0,0
"325",325,"<>",0.166064981949458,24,2,1
"326",326,"a",0.1,26,0,0
"327",327,"<>",0.1,26,0,0
"328",328,"to",0.307692307692308,26,0,0
"329",329,"<>",0.204545454545455,26,0,0
"330",330,"to",0.110169491525424,26,0,0
"331",331,"je",0.110169491525424,26,0,0
"332",332,"by",0.523809523809524,26,0,0
"333",333,"<>",0.231884057971014,26,0,0
"334",334,"<>",0.161764705882353,26,0,0
"335",335,"<>",0.461538461538462,26,0,0
"336",336,"a",0.0846560846560847,26,0,0
"337",337,"<>",0.158730158730159,26,0,0
"338",338,"<>",0.0632183908045977,26,0,0
"339",339,"si",0.117647058823529,26,0,0
"340",340,"se",0.0941176470588235,26,0,0
"341",341,"mi",0.230769230769231,26,0,0
"342",342,"vyplatí",0.141025641025641,26,0,0
"343",343,"přesto",0.230769230769231,26,1,1
"344",344,"že",0.692307692307692,27,0,0
"345",345,"<>",0.205128205128205,27,0,0
"346",346,"uvidí",0.079646017699115,27,0,0
"347",347,"<>",0.115044247787611,27,0,0
"348",348,"jen",0.2,27,0,0
"349",349,"<>",0.324324324324324,27,0,0
"350",350,"<>",0.155172413793103,27,0,0
"351",351,"řadě",1,27,0,0
"352",352,"chvíli",0.666666666666667,27,0,0
"353",353,"se",0.118279569892473,27,0,0
"354",354,"<>",0.10752688172043,27,0,0
"355",355,"se",0.188679245283019,27,0,0
"356",356,"si",0.132075471698113,27,0,0
"357",357,"<>",0.122448979591837,27,0,0
"358",358,"se",0.222222222222222,27,0,0
"359",359,"<>",0.132075471698113,27,0,0
"360",360,"že",1,27,0,0
"361",361,"to",0.571428571428571,27,0,0
"362",362,"straně",0.727272727272727,27,0,0
"363",363,"se",0.08,27,0,0
"364",364,"<>",0.09,27,0,0
"365",365,"tady",0.0804597701149425,27,0,0
"366",366,"tu",0.0383141762452107,27,0,0
"367",367,"tak",0.0306513409961686,27,0,0
"368",368,"super",0.0306513409961686,27,0,0
"369",369,"<>",0.0727969348659004,27,0,0
"370",370,"týče",0.204545454545455,27,0,0
"371",371,"to",0.636363636363636,27,0,0
"372",372,"i",0.473684210526316,27,0,0
"373",373,"<>",0.280373831775701,27,0,0
"374",374,"nebylo",1,27,1,1
"375",375,"se",0.2,28,0,0
"376",376,"na",0.296296296296296,28,0,0
"377",377,"tomu",0.909090909090909,28,0,0
"378",378,"že",0.75,28,0,0
"379",379,"že",0.928571428571429,28,0,0
"380",380,"<>",0.166666666666667,28,0,0
"381",381,"<>",0.210526315789474,28,0,0
"382",382,"se",0.333333333333333,28,0,0
"383",383,"mi",0.8,28,0,0
"384",384,"mi",0.476190476190476,28,0,0
"385",385,"<>",0.333333333333333,28,0,0
"386",386,"že",0.870967741935484,28,1,1
"387",387,"že",0.888888888888889,29,0,0
"388",388,"že",1,29,0,0
"389",389,"toho",0.727272727272727,29,0,0
"390",390,"že",1,29,0,0
"391",391,"ne",1,29,0,0
"392",392,"<>",0.333333333333333,29,0,0
"393",393,"mi",0.733333333333333,29,0,0
"394",394,"doby",0.875,29,0,0
"395",395,"na",0.740740740740741,29,0,0
"396",396,"ne",0.363636363636364,29,0,0
"397",397,"že",0.533333333333333,29,0,0
"398",398,"tomu",0.5,29,0,0
"399",399,"že",0.818181818181818,29,0,0
"400",400,"na",0.0681818181818182,29,0,0
"401",401,"do",0.041958041958042,29,1,0
"402",402,"to",0.027972027972028,30,0,0
"403",403,"v",0.027972027972028,30,0,0
"404",404,"k",0.0227272727272727,30,0,0
"405",405,"s",0.0227272727272727,30,0,0
"406",406,"po",0.020979020979021,30,0,0
"407",407,"mi",0.0157342657342657,30,0,0
"408",408,"za",0.013986013986014,30,0,0
"409",409,"o",0.013986013986014,30,0,0
"410",410,"<>",0.0926573426573427,30,0,0
"411",411,"to",0.0320284697508897,30,0,0
"412",412,"<>",0.213523131672598,30,0,0
"413",413,"to",0.0515873015873016,30,0,0
"414",414,"<>",0.261904761904762,30,1,0
"415",415,"to",0.0541871921182266,31,0,0
"416",416,"<>",0.0935960591133005,31,0,0
"417",417,"to",0.0526315789473684,31,0,0
"418",418,"<>",0.0578947368421053,31,0,0
"419",419,"<>",0.142857142857143,31,0,0
"420",420,"je",0.0687022900763359,31,0,0
"421",421,"<>",0.0763358778625954,31,0,0
"422",422,"<>",0.184782608695652,31,0,0
"423",423,"<>",0.321428571428571,31,0,0
"424",424,"<>",0.139240506329114,31,0,0
"425",425,"<>",0.147540983606557,31,0,0
"426",426,"<>",0.204545454545455,31,0,0
"427",427,"se",0.164383561643836,31,0,0
"428",428,"<>",0.264705882352941,31,0,0
"429",429,"<>",0.32,31,0,0
"430",430,"<>",0.25531914893617,31,0,0
"431",431,"a",0.0429540316503391,31,1,0
"432",432,"se",0.0278824415975885,32,1,0
"433",433,"v",0.0241145440844009,33,1,0
"434",434,"je",0.0188394875659382,34,0,0
"435",435,"na",0.0165787490580256,34,0,0
"436",436,"z",0.012810851544838,34,0,0
"437",437,"do",0.0120572720422005,34,0,0
